,Diện tích,Số tầng,Đường vào,Latitude,Longitude,Loại đường vào,loai_duong_null_flag,duong_vao_null_flag,Tổng số phòng,Pháp lý_Sổ đỏ,Pháp lý_không có,Nội thất_Cơ bản,Nội thất_Trống / Nhà thô,Nội thất_Đầy đủ
1295,-0.3992422225807697,0.07692307692307693,-0.7884660886417492,10.7896526653665,106.679030979104,3.0,0,0,-0.9028346336956022,0.0,0.0,0.0,0.0,1.0
2523,-0.6395223895560433,0.23076923076923078,0.1302907279796492,10.8125333494646,106.68502334892,3.0,0,1,0.30272686033993124,0.0,0.0,1.0,0.0,0.0
2045,-2.353425128614761,0.07692307692307693,0.1302907279796492,10.784935272794,106.648229162358,3.0,0,1,-1.265459390571404,0.0,0.0,0.0,1.0,0.0
2942,0.7664722378003171,0.4615384615384616,-0.13659775324274978,10.8040118014214,106.644956400416,0.0,1,1,1.5888228250383352,0.0,0.0,0.0,1.0,0.0
1354,-0.5278863642596802,0.3076923076923077,0.1302907279796492,10.7932583037954,106.640202947743,3.0,0,1,0.30272686033993124,0.0,0.0,0.0,1.0,0.0
2133,-0.5012464551475065,0.23076923076923078,-0.4391709580720064,10.7724552077819,106.684824266293,2.0,0,1,0.11316161425994499,0.0,0.0,0.0,1.0,0.0
2457,-0.2360953837240995,0.3076923076923077,2.0502110105697895,10.7626067450978,106.690020342219,0.0,1,0,-0.09639304316274322,0.0,0.0,0.0,1.0,0.0
5072,-0.15036267557913827,0.23076923076923078,-0.13659775324274978,10.8402418553276,106.713802538313,2.0,0,0,0.11316161425994499,1.0,0.0,0.0,1.0,0.0
1302,-0.15036267557913827,0.07692307692307693,0.1302907279796492,10.80388987194,106.62929061703,1.0,0,0,-1.709276224228461,0.0,0.0,1.0,0.0,0.0
2034,1.265537228595943,0.0,0.1302907279796492,10.8560199194482,106.596870654405,3.0,0,0,-1.265459390571404,0.0,0.0,0.0,1.0,0.0
5631,-1.154485113689163,0.23076923076923078,-0.4391709580720064,10.8325172906654,106.638811373716,2.0,0,0,-0.3306552193971129,0.0,0.0,0.0,1.0,0.0
2464,0.7209771111378261,0.4615384615384616,-0.13659775324274978,10.7697416324461,106.688361032705,0.0,1,1,0.11316161425994499,0.0,0.0,0.0,1.0,0.0
2945,-0.7291543745677658,0.15384615384615385,0.1302907279796492,10.7792870337532,106.647290509566,3.0,0,1,-0.09639304316274322,0.0,0.0,0.0,1.0,0.0
2182,-0.37480406362233243,0.23076923076923078,1.5713987371125986,10.7975767486355,106.689460964561,3.0,0,0,-0.3306552193971129,0.0,0.0,0.0,0.0,1.0
1978,-0.6688000780565717,0.3076923076923077,0.1302907279796492,10.7612922360614,106.590779807841,2.0,0,0,-0.09639304316274322,0.0,0.0,0.0,0.0,1.0
336,0.08051705379647196,0.23076923076923078,-0.13659775324274978,10.67841317159632,106.75400285073236,0.0,1,1,0.11316161425994499,0.0,0.0,0.0,1.0,0.0
5518,-0.6108132359423499,0.15384615384615385,-0.13659775324274978,10.8442825940127,106.715981475692,0.0,1,1,-0.5962397703258719,0.0,0.0,0.0,1.0,0.0
2245,-0.10929128578611225,0.07692307692307693,-0.4391709580720064,10.7872567152836,106.651453144701,2.0,0,0,-1.265459390571404,0.0,0.0,0.0,1.0,0.0
5886,1.3881753703228958,0.3076923076923077,0.1302907279796492,10.8058722070346,106.668405566338,3.0,0,1,1.0479657854342355,0.0,1.0,0.0,1.0,0.0
5001,-0.9265771942689038,0.15384615384615385,-0.7884660886417492,10.7957132251962,106.621994311236,0.0,1,0,-0.5962397703258719,0.0,0.0,0.0,1.0,0.0
5411,0.21656469094070732,0.07692307692307693,0.5849971026224333,10.7703495730236,106.632209012729,3.0,0,0,-1.265459390571404,0.0,0.0,0.0,1.0,0.0
4040,1.8782671900078807,0.0,2.0502110105697895,10.8429524482172,106.820171608213,3.0,0,0,0.30272686033993124,0.0,0.0,0.0,1.0,0.0
2751,-0.7602813127840508,0.15384615384615385,-0.13659775324274978,10.7860218191773,106.671587186393,0.0,1,1,0.4757863711357461,0.0,0.0,0.0,0.0,1.0
6018,0.3707119834879608,0.15384615384615385,0.1302907279796492,10.7513468088802,106.593822709259,3.0,0,1,-0.09639304316274322,0.0,0.0,0.0,1.0,0.0
3341,0.4281357043022882,0.07692307692307693,0.963530485543728,10.8296753358196,106.702488961944,3.0,0,0,-0.5962397703258719,0.0,0.0,1.0,0.0,0.0
724,-0.37480406362233243,0.23076923076923078,0.1302907279796492,10.8298100181314,106.702253812716,0.0,1,0,-0.09639304316274322,0.0,0.0,0.0,1.0,0.0
765,0.08051705379647196,0.15384615384615385,-1.2015945422910468,10.8198627626357,106.702744157471,3.0,0,0,0.11316161425994499,0.0,0.0,1.0,0.0,0.0
286,-0.3992422225807697,0.23076923076923078,-1.2015945422910468,10.7914516544104,106.675114022052,0.0,1,0,0.4757863711357461,0.0,0.0,0.0,1.0,0.0
3270,0.3707119834879608,0.23076923076923078,0.963530485543728,10.7983886274373,106.827481054886,3.0,0,0,-0.09639304316274322,0.0,0.0,0.0,0.0,1.0
307,-0.2360953837240995,0.07692307692307693,-1.2015945422910468,10.7906584336231,106.573007777838,0.0,1,0,-1.265459390571404,0.0,0.0,0.0,1.0,0.0
3221,-0.069330070593773,0.23076923076923078,-0.7884660886417492,10.8255988612542,106.689963225037,2.0,0,0,1.9355994527483495,0.0,0.0,0.0,0.0,1.0
2436,-0.6395223895560433,0.23076923076923078,-1.2015945422910468,10.7931499864306,106.676504865055,0.0,1,0,-0.09639304316274322,0.0,0.0,0.0,0.0,1.0
4896,-0.7291543745677658,0.0,-1.7072229052631471,10.792079783346,106.691889422074,3.0,0,0,-1.265459390571404,0.0,0.0,0.0,1.0,0.0
5297,0.3707119834879608,0.23076923076923078,-0.4391709580720064,10.79850062581,106.591726575181,3.0,0,0,0.11316161425994499,0.0,0.0,0.0,1.0,0.0
4410,-0.28090108395535385,0.15384615384615385,-0.4391709580720064,10.7985522024726,106.606603283537,3.0,0,0,-0.09639304316274322,0.0,0.0,0.0,0.0,1.0
5707,0.1330128034148692,0.3076923076923077,1.287787426350749,10.841459669827964,106.7104876067132,0.0,1,0,0.11316161425994499,0.0,0.0,0.0,1.0,0.0
3290,0.48341223409930084,0.23076923076923078,0.1302907279796492,10.8379371750268,106.611878314304,3.0,0,1,0.6349856886503463,1.0,0.0,0.0,1.0,0.0
4370,0.9847483644909514,0.23076923076923078,0.1302907279796492,10.7428815553156,106.729292482289,3.0,0,0,-0.3306552193971129,0.0,0.0,0.0,1.0,0.0
4414,0.5754359289154177,0.3076923076923077,-0.13659775324274978,10.7986335341482,106.692965876655,0.0,1,1,3.1911546302336715,0.0,0.0,0.0,0.0,0.0
5339,-1.424042969164965,0.07692307692307693,0.1302907279796492,10.8556431126228,106.761493916623,3.0,0,1,-1.709276224228461,0.0,0.0,1.0,0.0,0.0
2259,-1.424042969164965,0.07692307692307693,-0.7884660886417492,10.7921516205217,106.677722084051,3.0,0,0,-1.265459390571404,0.0,0.0,1.0,0.0,0.0
71,0.6740374558259857,0.07692307692307693,-0.13659775324274978,10.7460756626888,106.705656722188,3.0,0,0,1.5888228250383352,0.0,0.0,0.0,1.0,0.0
4596,-0.03042058936361902,0.23076923076923078,-0.4391709580720064,10.84360668045008,106.68168882374748,2.0,0,1,-0.09639304316274322,0.0,0.0,0.0,1.0,0.0
711,1.985191476882123,0.07692307692307693,0.1302907279796492,10.7591359971385,106.687555768279,3.0,0,1,2.7153435996542745,0.0,0.0,0.0,1.0,0.0
421,0.21656469094070732,0.15384615384615385,0.1302907279796492,10.8083396615452,106.684204967681,3.0,0,1,1.8544073759670945,0.0,0.0,0.0,0.0,1.0
1020,-0.3271071868061051,0.23076923076923078,-0.13659775324274978,10.8198293808424,106.702951132345,0.0,1,1,-0.09639304316274322,0.0,0.0,0.0,0.0,1.0
1695,0.21656469094070732,0.23076923076923078,0.963530485543728,10.8302075396223,106.705517109526,0.0,1,0,0.11316161425994499,0.0,0.0,0.0,0.0,1.0
3532,-0.04974733457061966,0.23076923076923078,-0.13659775324274978,10.6972044761898,106.740397074378,0.0,1,0,-0.09639304316274322,0.0,0.0,0.0,0.0,1.0
2570,-0.15036267557913827,0.07692307692307693,-0.13659775324274978,10.77446,106.6357,0.0,1,1,-1.265459390571404,0.0,0.0,0.0,1.0,0.0
737,0.4139875106418454,0.3076923076923077,-0.13659775324274978,10.8590406866448,106.756435906335,0.0,1,1,0.9196032047928032,0.0,0.0,0.0,0.0,1.0
2600,1.2167918808874494,0.15384615384615385,-0.7884660886417492,10.8813660032511,106.676943968659,0.0,1,0,-0.5962397703258719,0.0,0.0,0.0,1.0,0.0
2345,0.26451943380014525,0.15384615384615385,0.1302907279796492,10.7628915194142,106.630053624683,3.0,0,1,0.30272686033993124,0.0,0.0,0.0,1.0,0.0
