Diện tích,Số tầng,Đường vào,Pháp lý,Nội thất,Latitude,Longitude,Quan_Huyen,Phuong_Xa,Dien_Tich_Lo,hem_xe_hoi,gan_cho_sieu_thi,gan_truong_hoc,gan_benh_vien,gan_cong_vien_ho_nuoc,duong_vao_null_flag,Duong,Ty_Le_Giao_Thong,Ty_Le_Cong_Cong_CX,Ty_Le_Dat_O,Tổng số phòng,khoang_cach_trung_tam,Khoảng giá
138.0,4.0,6.0,2.0,2.0,10.7886246639476,106.673932704533,54.466025226590574,20.454141463799196,81.4,0,0,1,0,0,0,24.94667244603828,0.0,0.0,99.93857493857492,26.0,3.282818569813019,3.068052935133617
310.0,6.0,15.0,2.0,2.0,10.7423625402593,106.710563088951,17.789285714287892,27.589438231163943,191.9,0,0,0,0,1,0,19.567814035088464,11.307972902553413,0.0,88.69723814486711,93.0,3.8805403353562338,3.912023005428146
79.0,4.0,8.0,2.0,2.0,10.7965778046013,106.690763015763,18.635920863560628,20.91861042068099,,0,0,0,0,0,0,20.9375036193361,,,,8.0,2.551570786187012,3.254242968705492
48.0,2.0,8.0,2.0,0.0,10.7776612279877,106.624296975883,14.870739305516691,15.947519420410991,120.4,0,1,1,0,0,1,14.061968204955344,0.0,0.0,100.0,5.0,8.391517614536601,1.9459101490553132
120.0,4.0,14.1,2.0,2.0,10.7436357025331,106.732903572098,17.789285714287892,15.384762008592112,3873.1,0,0,0,0,0,1,22.220358342303552,34.70708218223129,25.52735534842891,39.765820660452874,8.0,5.002117334418968,2.9444389791664403
236.0,3.0,16.0,2.0,0.0,10.7858077567268,106.621873730322,14.870739305516691,11.510563557927082,3303.5,0,0,0,0,0,0,23.87890414117274,97.22112910549416,0.0,2.7797790222491296,6.0,8.722512908592126,3.367295829986474
97.0,1.0,16.0,2.0,2.0,10.747563404024,106.685335954264,9.678900518707806,20.91861042068099,1309.7,0,1,1,0,0,1,13.344166973843556,82.73421394212414,0.0,17.268076658776817,4.0,3.600519522072916,2.196112848483529
197.0,4.0,18.333333333333332,2.0,0.0,10.8443802584137,106.769047767366,15.481076923082806,28.152792612928017,,0,0,0,0,1,1,15.77172652828078,,,,21.0,10.624992863692045,3.970291913552122
70.0,3.0,12.0,2.0,2.0,10.8118917346903,106.624508688983,14.870739305516691,10.41623787774266,1348.6,1,1,1,0,0,0,16.07571079031086,8.571852291265015,64.69079044935488,26.73661574966632,7.0,9.269082512452243,2.2082744135228043
84.0,4.0,9.0,2.0,2.0,10.8496326326394,106.65071527234,11.098013468192365,24.57074925894742,4169.7,0,0,0,0,0,1,8.67950288495155,1.426241696045279,0.0,6.610787346811521,11.0,9.86508980900687,2.3978952727983707
105.0,2.0,20.0,2.0,1.0,10.68678227191234,106.5852450409788,16.33892897114638,14.835807623420491,3024.1,0,0,0,0,0,0,14.835807623420491,85.03554776627757,14.964452233722428,0.0,7.0,16.0817187422533,2.0794415416798357
63.0,3.0,9.333333333333332,2.0,0.0,10.8546705697809,106.758150234818,15.481076923082806,14.588719837704131,,0,0,0,0,0,1,14.199366015035318,,,,6.0,10.740064132213602,1.7209792871670078
79.0,4.0,5.0,2.0,2.0,10.7931802881832,106.627909892075,14.870739305516691,8.579371944866423,57.3,1,1,1,0,0,0,15.89544575655946,34.13612565445026,0.0,65.91623036649216,11.0,8.219702990323198,2.3513752571634776
300.0,3.0,10.0,2.0,0.0,10.7765338685001,106.758995282041,38.64743434299875,37.87994066039128,,0,0,0,0,1,1,19.567814035088464,,,,9.0,6.324410684736308,4.189654742026425
100.0,4.0,12.0,2.0,0.0,10.751328770973,106.60867625357,10.737500000137535,19.33771441176799,902660.3,0,1,0,0,0,0,20.18293300275866,0.487598712383828,0.0,0.0,11.0,10.462301874044256,3.0204248861443626
41.0,3.0,5.0,2.0,2.0,10.731687254786,106.745103388624,17.789285714287892,8.631667515460695,9782.4,1,0,0,0,0,0,8.354716452845052,12.071270853778216,31.6465284592738,0.0,8.0,6.883768625303283,2.052840859882657
48.0,5.0,5.0,2.0,0.0,10.8111069816281,106.702064915651,18.827244701348747,20.454141463799196,,1,0,0,0,0,0,13.904706375065796,,,,8.0,3.905140761347409,2.272125885509337
