Diện tích,Số tầng,Đường vào,Loại đường vào,Quan_Huyen,Phuong_Xa,Dien_Tich_Lo,hem_xe_hoi,gan_cho_sieu_thi,gan_truong_hoc,gan_benh_vien,gan_cong_vien_ho_nuoc,duong_vao_null_flag,Ty_Le_Giao_Thong,Ty_Le_Cong_Cong_CX,Ty_Le_Khac,Ty_Le_Dat_O,Tổng số phòng,khoang_cach_trung_tam,Đường_Frequency,Đường_Target,Pháp lý_Sổ đỏ,Pháp lý_không có,Nội thất_Cơ bản,Nội thất_Trống / Nhà thô,Nội thất_Đầy đủ,Khoảng giá
0.8470415885483157,0.23076923076923073,-0.47696419252420597,2.0,54.46617152529408,20.454141465138118,81.4,0,0,1,0,0,0,0.0,0.0,0.0,99.93857493857492,2.0793986672210885,3.282818569813019,43,24.26156608473689,0.0,0.0,0.0,0.0,1.0,3.068052935133617
2.0448083301790936,0.3846153846153845,1.026431492093969,0.0,17.789285714285825,24.488452653857216,191.9,0,0,0,0,1,0,11.307972902553413,0.0,0.0,88.69723814486711,4.553019902391287,3.8805403353562338,285,19.567814057892427,0.0,0.0,0.0,0.0,1.0,3.912023005428146
0.025375866256361786,0.23076923076923073,-0.019924371709243074,0.0,18.63592086332186,20.918551142754602,,0,0,0,0,0,0,,,,,-0.09907216617061913,2.551570786187012,3,20.80128280930832,0.0,0.0,0.0,0.0,1.0,3.254242968705492
-0.7037176504093345,0.07692307692307691,-0.019924371709243074,0.0,14.87073929990493,17.499103454001883,120.4,0,1,1,0,0,1,0.0,0.0,0.0,100.0,-0.9030809334878898,8.391517614536601,3,17.08151637908736,0.0,0.0,0.0,1.0,0.0,1.9459101490553132
0.6407750612138776,0.23076923076923073,0.9211456408046631,0.0,17.789285714285825,17.42635834230355,3873.1,0,0,0,0,0,1,34.70708218223129,25.52735534842891,0.0,39.765820660452874,-0.09907216617061913,5.002117334418968,5,21.49037882995938,0.0,0.0,0.0,0.0,1.0,2.9444389791664403
1.6406548404000103,0.15384615384615383,1.1366832849635289,3.0,14.87073929990493,12.804496961724974,3303.5,0,0,0,0,0,0,97.22112910549416,0.0,0.0,2.7797790222491296,-0.5974109865784987,8.722512908592126,2,22.402077187454985,0.0,0.0,0.0,1.0,0.0,3.367295829986474
0.3272137712128582,0.0,1.1366832849635289,0.0,9.364834955468142,20.918551142754602,1309.7,0,1,1,0,0,1,82.73421394212414,0.0,0.0,17.268076658776817,-1.2646117463788682,3.600519522072916,8,16.702782872512007,0.0,0.0,0.0,0.0,1.0,2.196112848483529
1.3732450144022117,0.23076923076923073,1.370586541993384,3.0,15.48107692307722,23.47132346757169,,0,0,0,0,1,1,,,,,1.673305763115859,10.624992863692045,14,17.892299497014804,0.0,0.0,0.0,1.0,0.0,3.970291913552122
-0.15213091147119978,0.15384615384615383,0.6488190377612324,3.0,14.87073929990493,13.051852005459661,1348.6,1,1,1,0,0,0,8.571852291265015,64.69079044935488,0.0,26.73661574966632,-0.3326276347307223,9.269082512452243,3,18.170980924996687,0.0,0.0,0.0,0.0,1.0,2.2082744135228043
0.11554405752569122,0.23076923076923073,0.1716840111703942,3.0,11.098013468022373,24.56391683041859,4169.7,0,0,0,0,0,1,1.426241696045279,0.0,91.96369043336452,6.610787346811521,0.4713811325865483,9.86508980900687,30,12.088513953998435,0.0,0.0,0.0,0.0,1.0,2.3978952727983707
