Diện tích,Số tầng,Đường vào,Latitude,Longitude,Loại đường vào,Quan_Huyen,Phuong_Xa,Dien_Tich_Lo,hem_xe_hoi,gan_cho_sieu_thi,gan_truong_hoc,gan_benh_vien,gan_cong_vien_ho_nuoc,duong_vao_null_flag,Đường_Từ_Địa_Chỉ,Ty_Le_Giao_Thong,Ty_Le_Cong_Cong_CX,Ty_Le_Khac,Ty_Le_Dat_O,Tổng số phòng,khoang_cach_trung_tam,Pháp lý_Sổ đỏ,Pháp lý_không có,Nội thất_Cơ bản,Nội thất_Trống / Nhà thô,Nội thất_Đầy đủ,Khoảng giá
59.0,4.0,4.0,10.7955289989817,106.677755424782,2.0,18.63592086332186,15.923197269929185,1378.3,1,0,0,0,0,0,18.88858355251217,76.85337009359355,0.0,0.0,23.145904374954657,9.0,3.34928638919087,0.0,0.0,0.0,0.0,1.0,9.9
50.0,4.0,6.0,10.7012307108186,106.741160606826,3.0,8.131668552257471,7.431275025157785,347.9,1,0,0,0,0,0,17.25767208576909,14.73699338890486,0.0,0.0,85.27737855705664,8.0,9.39553087381642,0.0,0.0,0.0,1.0,0.0,6.4
60.0,2.0,10.0,10.7236209243825,106.61608653143,0.0,10.737500000006847,13.181777405603473,2083.9,0,0,1,0,0,0,16.67274773320998,0.0,0.0,100.0,0.0,4.0,10.96238709629223,0.0,0.0,0.0,1.0,0.0,6.49
138.0,4.0,6.0,10.7886246639476,106.673932704533,2.0,54.46617152529408,20.454141465138118,81.4,0,0,1,0,0,0,24.641850909075103,0.0,0.0,0.0,99.93857493857492,26.0,3.282818569813019,0.0,0.0,0.0,0.0,1.0,20.5
310.0,6.0,15.0,10.7423625402593,106.710563088951,0.0,17.789285714285825,24.488452653857216,191.9,0,0,0,0,1,0,19.567814035091047,11.307972902553413,0.0,0.0,88.69723814486711,93.0,3.8805403353562338,0.0,0.0,0.0,0.0,1.0,49.0
79.0,4.0,8.0,10.7965778046013,106.690763015763,0.0,18.63592086332186,20.918551142754602,,0,0,0,0,0,0,20.25050569105691,,,,,8.0,2.551570786187012,0.0,0.0,0.0,0.0,1.0,24.9
48.0,2.0,8.0,10.7776612279877,106.624296975883,0.0,14.87073929990493,17.499103454001883,120.4,0,1,1,0,0,1,20.25050569105691,0.0,0.0,0.0,100.0,5.0,8.391517614536601,0.0,0.0,0.0,1.0,0.0,6.0
120.0,4.0,14.1,10.7436357025331,106.732903572098,0.0,17.789285714285825,17.42635834230355,3873.1,0,0,0,0,0,1,21.217050598270333,34.70708218223129,25.52735534842891,0.0,39.765820660452874,8.0,5.002117334418968,0.0,0.0,0.0,0.0,1.0,18.0
236.0,3.0,16.0,10.7858077567268,106.621873730322,3.0,14.87073929990493,12.804496961724974,3303.5,0,0,0,0,0,0,20.25050569105691,97.22112910549416,0.0,0.0,2.7797790222491296,6.0,8.722512908592126,0.0,0.0,0.0,1.0,0.0,28.0
97.0,1.0,16.0,10.747563404024,106.685335954264,0.0,9.364834955468142,20.918551142754602,1309.7,0,1,1,0,0,1,17.700526196299407,82.73421394212414,0.0,0.0,17.268076658776817,4.0,3.600519522072916,0.0,0.0,0.0,0.0,1.0,7.99
197.0,4.0,18.333333333333332,10.8443802584137,106.769047767366,3.0,15.48107692307722,23.47132346757169,,0,0,0,0,1,1,18.21396773749808,,,,,21.0,10.624992863692045,0.0,0.0,0.0,1.0,0.0,52.0
70.0,3.0,12.0,10.8118917346903,106.624508688983,3.0,14.87073929990493,13.051852005459661,1348.6,1,1,1,0,0,0,20.25050569105691,8.571852291265015,64.69079044935488,0.0,26.73661574966632,7.0,9.269082512452243,0.0,0.0,0.0,0.0,1.0,8.1
84.0,4.0,9.0,10.8496326326394,106.65071527234,3.0,11.098013468022373,24.56391683041859,4169.7,0,0,0,0,0,1,11.178588935354508,1.426241696045279,0.0,91.96369043336452,6.610787346811521,11.0,9.86508980900687,0.0,0.0,0.0,0.0,1.0,10.0
105.0,2.0,20.0,10.68678227191234,106.5852450409788,0.0,13.123347608580726,18.705766496889733,3024.1,0,0,0,0,0,0,20.25050569105691,85.03554776627757,14.964452233722428,0.0,0.0,7.0,16.0817187422533,0.0,0.0,1.0,0.0,0.0,7.0
63.0,3.0,9.333333333333332,10.8546705697809,106.758150234818,0.0,15.48107692307722,17.056969241416212,,0,0,0,0,0,1,20.25050569105691,,,,,6.0,10.740064132213602,0.0,0.0,0.0,1.0,0.0,4.59
79.0,4.0,5.0,10.7931802881832,106.627909892075,0.0,14.87073929990493,9.35870800879073,57.3,1,1,1,0,0,0,20.25050569105691,34.13612565445026,0.0,0.0,65.91623036649216,11.0,8.219702990323198,0.0,0.0,0.0,0.0,1.0,9.5
300.0,3.0,10.0,10.7765338685001,106.758995282041,0.0,38.647438220481845,32.180605395627865,,0,0,0,0,1,1,19.567814035091047,,,,,9.0,6.324410684736308,0.0,0.0,0.0,1.0,0.0,65.0
100.0,4.0,12.0,10.751328770973,106.60867625357,0.0,10.737500000006847,19.36213730687916,902660.3,0,1,0,0,0,0,20.25050569105691,0.487598712383828,0.0,0.0,0.0,11.0,10.462301874044256,0.0,0.0,0.0,1.0,0.0,19.5
41.0,3.0,5.0,10.731687254786,106.745103388624,2.0,17.789285714285825,8.648767860862735,9782.4,1,0,0,0,0,0,8.354727166160457,12.071270853778216,31.6465284592738,56.282200686947995,0.0,8.0,6.883768625303283,0.0,0.0,0.0,0.0,1.0,6.79
48.0,5.0,5.0,10.8111069816281,106.702064915651,2.0,18.827244701348747,20.454141465138118,,1,0,0,0,0,0,17.16203807849431,,,,,8.0,3.905140761347409,0.0,0.0,0.0,1.0,0.0,8.7
64.0,3.0,6.0,10.8458543270166,106.71825092203,0.0,15.48107692307722,17.78611714762465,,0,0,0,0,0,0,15.155664323925304,,,,,8.0,7.99013671559904,0.0,0.0,1.0,0.0,0.0,7.2
61.0,3.0,20.0,10.7055295204486,106.740579826678,0.0,17.789285714285825,18.28632481919144,1102.2,0,0,0,0,0,1,20.25050569105691,53.56196697514063,8.746144075485393,0.0,37.69007439666122,9.0,8.944530866349506,0.0,0.0,0.0,0.0,1.0,7.45
448.0,4.0,18.0,10.8083994321884,106.73300967008,0.0,38.647438220481845,58.28290665694527,,0,0,0,0,0,1,25.358109988674624,,,,,12.0,5.012720439545782,0.0,0.0,0.0,1.0,0.0,78.0
44.0,4.0,11.0,10.8416341758951,106.65714157498,0.0,11.098013468022373,16.924787565129154,4508.5,0,0,0,0,1,1,20.18744094190726,87.35566152822446,12.644560275036042,0.0,0.0,8.0,8.735867532377243,0.0,0.0,0.0,1.0,0.0,6.9
24.0,4.0,3.866666666666667,10.7667912028474,106.664532103888,3.0,24.737282299672927,23.820911987062647,4009.0,0,0,0,0,0,1,32.67330086593139,41.92192566724869,0.0,0.0,58.07358443502121,4.0,4.123677885943417,1.0,0.0,0.0,1.0,0.0,12.8
40.0,5.0,12.0,10.7730943587354,106.676812680575,3.0,24.737282299672927,20.454141465138118,1340.0,1,1,1,1,0,1,32.67330086593139,97.21865671641793,0.0,0.0,2.779850746268657,7.0,2.672616922576965,0.0,0.0,0.0,1.0,0.0,8.3
61.0,1.0,6.0,10.7975883246558,106.696058720532,0.0,18.827244701348747,18.83383064658232,970.6,0,0,0,0,0,1,18.746215486842598,0.0,0.5347207912631362,0.0,99.46218833711106,3.0,2.462861114675215,0.0,0.0,0.0,0.0,1.0,11.8
36.0,3.0,4.0,10.8203086496271,106.703651707435,3.0,18.827244701348747,16.235786892588425,127.6,1,1,1,0,0,0,13.930220361551154,97.59404388714734,0.0,0.0,2.4216300940438873,9.0,4.934774093427065,0.0,0.0,0.0,0.0,1.0,8.0
69.0,5.0,7.6,10.7939816368616,106.67445256066,0.0,18.63592086332186,16.924787565129154,109.6,1,0,0,0,0,1,19.890851850482022,0.0,0.0,0.0,100.0,8.0,3.531312339178443,1.0,0.0,0.0,1.0,0.0,16.9
83.0,4.0,4.0,10.7514080436114,106.665478182716,3.0,29.82381843840417,14.561953480312356,59.9,0,0,0,0,0,1,20.25050569105691,5.609348914858097,0.0,0.0,94.40734557595994,9.0,4.755997975215848,0.0,0.0,0.0,1.0,0.0,19.5
250.0,3.0,30.0,10.8548959681391,106.767782738074,3.0,15.48107692307722,17.056969241416212,,0,0,0,0,0,0,22.194851405872406,,,,,7.0,11.402003597599972,0.0,0.0,0.0,0.0,1.0,38.0
57.0,5.0,16.0,10.772634613087,106.684148020687,3.0,54.46617152529408,15.149860937399001,30.1,0,0,0,0,0,0,35.13373860631083,0.0,0.0,99.93355481727572,0.0,11.0,1.8891777362994897,0.0,0.0,0.0,1.0,0.0,27.8
80.0,2.0,6.0,10.7619159051642,106.613613182467,0.0,10.737500000006847,8.135783941420566,107.3,1,0,0,0,0,0,20.25050569105691,39.34762348555452,0.0,0.0,60.64305684995339,6.0,9.68423289773315,0.0,0.0,0.0,0.0,1.0,6.7
